Sr No,Date dd/mm/yyyy,Startup Name,Industry Vertical,Sub Vertical,City  Location,Investors Name,Investment Type,Amount in USD
1859,15-03-2016,Proximit,Technology,Advertising Technology,Pune,Funding through 1Crowd platform,Seed Funding,150000.0
1860,15-03-2016,WithMe,Consumer Internet,Personalized Fashion App,Gurgaon,Alex Kuruvilla Pradeep Guha Saket Dhankar Rajan Pandhare,Seed Funding,250000.0
1861,16-03-2016,Gapoon,Consumer Internet,Hyperlocal Home Maintenance services,Bangalore,Chandrashekar Tallapragada Pankaj Kapoor,Seed Funding,180000.0
1864,16-03-2016,Wealthy,Consumer Internet,Online Investment management portal,Bangalore,Zishaan Hayath Abhishek Goyal Arjun and Rohan Malhotra Harpreet Singh Grover Gagan Dugal,Seed Funding,250000.0
1865,17-03-2016,Pramati,Healthcare,Specialized Patient Care platform,Noida,Undisclosed investors,Seed Funding,200000.0
1866,17-03-2016,Qlivery,Consumer Internet,Ondemand Concierge Service,Gurgaon,Swastika Company Ltd,Seed Funding,230000.0
1867,17-03-2016,HealthEnablr,Consumer Internet,Doctor Discovery and booking platform,Mumbai,Undisclosed investors,Seed Funding,800000.0
1868,17-03-2016,Liftiee,Consumer Internet,Car/bike Pooling App,Mumbai,Rannvijay Singh Anita Hassanandani,Seed Funding,108000.0
1869,18-03-2016,Hello Curry,Food & Beverage,Quick Service Restaurant Chain,Hyderabad,Sashi Reddi & Other unnamed investors,Private Equity,1500000.0
1870,19-03-2016,goSporto,Consumer Internet,Online Sports discovery and booking platform,New Delhi,Naveen Gupta,Seed Funding,30000.0
1873,21-03-2016,Room On Call,Consumer Internet,Budget hotel aggregator,Gurgaon,CASHurDRIVE Marketing Pvt Ltd,Private Equity,2000000.0
